WindID,SeriesID,SeriesName
S0182141,动力煤,期货结算价(活跃合约):动力煤
S0181379,焦煤期货价格,期货结算价(活跃合约):焦煤
S0181380,焦炭期货价格,期货结算价(活跃合约):焦炭
S0029751,LME铜期货价格,现货结算价:LME铜
S0029755,LME铝期货价格,现货结算价:LME铝
S0181383,螺纹钢期货价格,现货结算价(活跃合约):螺纹钢
S0186244,铁矿石期货价格,现货结算价(活跃合约):铁矿石
S0033227,螺纹钢现货价格,价格:螺纹钢:HRB400 20mm:上海
S5704696,高线现货价格,价格:高线:6.5:HPB300:杭州
S0033272,热轧卷板现货价格,价格:热轧板卷:Q235B:4.75mm:上海
S0033155,冷轧卷板现货价格,价格:冷轧板卷:1.0mm:上海
S5914515,水泥价格指数,水泥价格指数:全国
S5319531,混凝土价格指数,混凝土价格指数:全国
S5914179,浮法玻璃现货价格,现货平均价(重量箱):浮法玻璃:全国主要城市
就业,,
M5480389,城镇新增就业,城镇新增就业人数:累计值
M0017136,制造业PMI从业人员,PMI:从业人员
M5207830,非制造业PMI从业人员,非制造业PMI:从业人员
M5207836,建筑业PMI从业人员,非制造业PMI:建筑业:从业人员
M5207843,服务业PMI从业人员,非制造业PMI:服务业:从业人员
M5650810,就业人员平均工作时间,
PMI,,
M0017126,PMI,PMI
M0017127,PMI:生产,PMI:生产
M0017128,PMI:新订单,PMI:新订单
M0017129,PMI:新出口订单,PMI:新出口订单
M0017131,PMI:产成品库存,PMI:产成品库存
M0017132,PMI:采购量,PMI:采购量
M0017133,PMI:进口,PMI:进口
M5766711,PMI:出厂价格,PMI:出厂价格
M0017134,PMI:主要原材料购进价格,PMI:主要原材料购进价格
M0017135,PMI:原材料库存,PMI:原材料库存
M0017136,PMI:从业人员,PMI:从业人员
M0017137,PMI:供货商配送时间,PMI:供货商配送时间
M5207790,PMI:生产经营活动预期,PMI:生产经营活动预期
domestic_demand,PMI_新订单_新出口订单,
production_order,PMI_生产_新订单,
raw_prices,PMI_原材料购进_出厂价格,
M5206738,PMI:大型企业,
M5206739,PMI:中型企业,
M5206740,PMI:小型企业,
big_small,PMI_大型企业_小型企业,
M0048236,非制造业PMI:商务活动,非制造业PMI:商务活动
M0048237,非制造业PMI:新订单,非制造业PMI:新订单
M0048238,非制造业PMI:新出口订单,非制造业PMI:新出口订单
M0048239,非制造业PMI:业务活动预期,非制造业PMI:业务活动预期
M0048240,非制造业PMI:投入品价格,非制造业PMI:投入品价格
M0068606,非制造业PMI:销售价格,非制造业PMI:销售价格
M5207830,非制造业PMI:从业人员,非制造业PMI:从业人员
M0088875,非制造业PMI:在手订单,非制造业PMI:在手订单
M0088876,非制造业PMI:存货,非制造业PMI:存货
M0088877,非制造业PMI:供应商配送时间,非制造业PMI:供应商配送时间
M5207831,非制造业PMI:建筑业,非制造业PMI:建筑业
M5207832,非制造业PMI:建筑业:新订单,非制造业PMI:建筑业:新订单
M5207833,非制造业PMI:建筑业:新出口订单,非制造业PMI:建筑业:新出口订单
M5207837,非制造业PMI:建筑业:业务活动预期,非制造业PMI:建筑业:业务活动预期
M5207834,非制造业PMI:建筑业:投入品价格,非制造业PMI:建筑业:投入品价格
M5207835,非制造业PMI:建筑业:销售价格,非制造业PMI:建筑业:销售价格
M5207836,非制造业PMI:建筑业:从业人员,非制造业PMI:建筑业:从业人员
M5207838,非制造业PMI:服务业,非制造业PMI:服务业
M5207839,非制造业PMI:服务业:新订单,非制造业PMI:服务业:新订单
M5207840,非制造业PMI:服务业:新出口订单,非制造业PMI:服务业:新出口订单
M5207844,非制造业PMI:服务业:业务活动预期,非制造业PMI:服务业:业务活动预期
M5207841,非制造业PMI:服务业:投入品价格,非制造业PMI:服务业:投入品价格
M5207842,非制造业PMI:服务业:销售价格,非制造业PMI:服务业:销售价格
M5207843,非制造业PMI:服务业:从业人员,非制造业PMI:服务业:从业人员
M5786898,中国企业经营状况指数(BCI),
M5786899,BCI:企业销售前瞻指数,
M5786900,BCI:企业利润前瞻指数,
M5786901,BCI:企业融资环境指数,
M5786902,BCI:企业库存前瞻指数,
M5786903,BCI:企业用工成本前瞻指数,
M5786904,BCI:企业总成本前瞻指数,
M5786905,BCI:消费品价格前瞻指数,
M5786906,BCI:中间品价格前瞻指数,
M5786907,BCI:企业投资前瞻指数,
M5786908,BCI:企业招工前瞻指数,
M5786909,BCI:企业竞争力指数,
G0002323,美国:供应管理协会(ISM):制造业PMI,
G0008345,美国:ISM:制造业PMI:新订单,
G0008346,美国:ISM:制造业PMI:产出,
G0008347,美国:ISM:制造业PMI:就业,
G0008348,美国:ISM:制造业PMI:供应商交付,
G0008349,美国:ISM:制造业PMI:自有库存,
G0008350,美国:ISM:制造业PMI:客户库存,
G0008351,美国:ISM:制造业PMI:物价,
G0008352,美国:ISM:制造业PMI:订单库存,
G0008353,美国:ISM:制造业PMI:新出口订单,
G0008354,美国:ISM:制造业PMI:进口,
生产数据,,
M0039354,GDP同比,GDP:不变价:当季同比
M5567901,第一产业同比,GDP:不变价:第一产业:当季同比
M5567902,第二产业同比,GDP:不变价:第二产业:当季同比
M5567903,第三产业同比,GDP:不变价:第三产业:当季同比
M5567904,GDP:不变价:农林牧渔业:当季同比,
M5567905,GDP:不变价:工业:当季同比,
